name,category_id,lat,lng,job_type,demand,duration,start_at,end_at,created_by_id,multi_id
Nurmo_Container633,3,62.84261371,22.95408975,pp,1,900,2023-06-05T04:32:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container661,2,62.84261371,22.95408975,pp,1,900,2023-06-05T06:08:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container134,3,62.44670136,22.2128249,pp,1,900,2023-06-05T05:58:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container410,2,62.84261371,22.95408975,pp,1,900,2023-06-05T06:36:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container648,3,62.84261371,22.95408975,pp,1,900,2023-06-05T06:46:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container186,1,62.44670136,22.2128249,pp,1,900,2023-06-05T08:09:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container106,3,62.44670136,22.2128249,pp,1,900,2023-06-05T08:36:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container530,3,62.44670136,22.2128249,pp,1,900,2023-06-05T08:36:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container708,2,62.44670136,22.2128249,pp,1,900,2023-06-05T09:46:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container631,3,62.84261371,22.95408975,pp,1,900,2023-06-05T10:16:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container656,3,62.84261371,22.95408975,pp,1,900,2023-06-05T11:07:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container301,3,62.84261371,22.95408975,pp,1,900,2023-06-05T12:43:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container328,3,62.44670136,22.2128249,pp,1,900,2023-06-05T13:01:00.000Z,2023-06-05T20:59:00.000Z,1,
Kauhajoki_Container511,3,62.44670136,22.2128249,pp,1,900,2023-06-05T13:01:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container655,3,62.84261371,22.95408975,pp,1,900,2023-06-05T16:12:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container405,2,62.84261371,22.95408975,pp,1,900,2023-06-05T16:50:00.000Z,2023-06-05T20:59:00.000Z,1,
Nurmo_Container642,3,62.84261371,22.95408975,pp,1,900,2023-06-05T13:09:00.000Z,2023-06-05T20:59:00.000Z,1,
